Service,Score
ts-admin-basic-info-service,43.83482360839844
ts-admin-order-service,18.256053924560547
ts-admin-route-service,13.167566299438477
ts-admin-travel-service,41.47041320800781
ts-admin-user-service,15.708553314208984
ts-assurance-service,27.31023406982422
ts-auth-service,29.58814811706543
ts-basic-service,67.16590881347656
ts-cancel-service,88.23028564453125
ts-common,87.62113952636719
ts-config-service,15.537518501281738
ts-consign-price-service,14.205101013183594
ts-consign-service,23.77012825012207
ts-contacts-service,22.489925384521484
ts-delivery-service,4.108823299407959
ts-execute-service,59.78744125366211
ts-food-delivery-service,27.032365798950195
ts-food-service,46.20960235595703
ts-gateway-service,0.0
ts-inside-payment-service,64.29948425292969
ts-notification-service,32.161354064941406
ts-order-other-service,43.73127365112305
ts-order-service,44.56500244140625
ts-payment-service,15.959680557250977
ts-preserve-other-service,99.13539123535156
ts-preserve-service,100.0
ts-price-service,25.56110382080078
ts-rebook-service,75.80158996582031
ts-route-plan-service,25.162700653076172
ts-route-service,25.482473373413086
ts-seat-service,73.3542709350586
ts-security-service,60.24686813354492
ts-station-food-service,18.077476501464844
ts-station-service,24.926616668701172
ts-train-food-service,14.430252075195312
ts-train-service,23.657699584960938
ts-travel-plan-service,29.046001434326172
ts-travel-service,68.38587951660156
ts-travel2-service,67.39540100097656
ts-user-service,27.863994598388672
ts-verification-code-service,15.047749519348145
ts-wait-order-service,31.015419006347656
